Time,Datastream Name,Value
2022-04-04 09:14:00,Temperature,22.358
2022-04-04 09:14:00,CO_2 concentration,829.0
2022-04-04 00:13:00,Temperature,18.329
2022-04-04 00:13:00,CO_2 concentration,716.0
2022-04-04 00:11:00,Temperature,18.339
2022-04-04 00:11:00,CO_2 concentration,745.0
2022-04-04 00:10:00,Temperature,18.342
2022-04-04 00:10:00,CO_2 concentration,695.0
2022-04-04 00:09:00,Temperature,18.323
2022-04-04 00:09:00,CO_2 concentration,718.0
2022-04-04 00:07:00,Temperature,18.334
2022-04-04 00:07:00,CO_2 concentration,744.0
2022-04-04 00:06:00,Temperature,18.339
2022-04-04 00:06:00,CO_2 concentration,732.0
2022-04-04 00:05:00,Temperature,18.35
2022-04-04 00:05:00,CO_2 concentration,702.0
2022-04-04 00:04:00,Temperature,18.379
2022-04-04 00:04:00,CO_2 concentration,776.0
2022-04-04 00:02:00,Temperature,18.377
2022-04-04 00:02:00,CO_2 concentration,795.0
2022-04-04 00:01:00,Temperature,18.422
2022-04-04 00:01:00,CO_2 concentration,785.0
2022-04-04 00:00:00,Temperature,18.398
2022-04-03 23:58:00,Temperature,18.43
2022-04-03 23:58:00,CO_2 concentration,801.0
2022-04-03 23:57:00,Temperature,18.427
2022-04-03 23:57:00,CO_2 concentration,841.0
2022-04-03 23:56:00,Temperature,18.441
2022-04-03 23:56:00,CO_2 concentration,809.0
2022-04-03 23:55:00,Temperature,18.441
2022-04-03 23:55:00,CO_2 concentration,818.0
2022-04-03 23:53:00,Temperature,18.441
2022-04-03 23:53:00,CO_2 concentration,822.0
2022-04-03 23:52:00,Temperature,18.43
2022-04-03 23:52:00,CO_2 concentration,822.0
2022-04-03 23:51:00,Temperature,18.427
2022-04-03 23:51:00,CO_2 concentration,809.0
2022-04-03 23:50:00,Temperature,18.414
2022-04-03 23:50:00,CO_2 concentration,831.0
2022-04-03 23:48:00,Temperature,18.406
2022-04-03 23:48:00,CO_2 concentration,817.0
2022-04-03 23:47:00,Temperature,18.387
2022-04-03 23:47:00,CO_2 concentration,824.0
2022-04-03 23:46:00,Temperature,18.377
2022-04-03 23:46:00,CO_2 concentration,826.0
2022-04-03 23:44:00,Temperature,18.347
2022-04-03 23:44:00,CO_2 concentration,808.0
2022-04-03 23:43:00,Temperature,18.318
2022-04-03 23:43:00,CO_2 concentration,842.0
2022-04-03 23:42:00,Temperature,18.323
2022-04-03 23:42:00,CO_2 concentration,845.0
2022-04-03 23:41:00,Temperature,18.27
2022-04-03 23:41:00,CO_2 concentration,833.0
2022-04-03 23:39:00,Temperature,18.264
2022-04-03 23:39:00,CO_2 concentration,828.0
2022-04-03 23:38:00,Temperature,18.24
2022-04-03 23:38:00,CO_2 concentration,815.0
2022-04-03 23:37:00,Temperature,18.254
2022-04-03 23:37:00,CO_2 concentration,864.0
2022-04-03 23:36:00,Temperature,18.256
2022-04-03 23:36:00,CO_2 concentration,865.0
2022-04-03 23:34:00,Temperature,18.243
2022-04-03 23:34:00,CO_2 concentration,854.0
2022-04-03 23:33:00,Temperature,18.259
2022-04-03 23:33:00,CO_2 concentration,847.0
2022-04-03 23:32:00,Temperature,18.262
2022-04-03 23:32:00,CO_2 concentration,855.0
2022-04-03 23:30:00,Temperature,18.259
2022-04-03 23:30:00,CO_2 concentration,843.0
2022-04-03 23:29:00,Temperature,18.259
2022-04-03 23:29:00,CO_2 concentration,881.0
2022-04-03 23:28:00,Temperature,18.291
2022-04-03 23:28:00,CO_2 concentration,829.0
2022-04-03 23:27:00,Temperature,18.297
2022-04-03 23:27:00,CO_2 concentration,857.0
2022-04-03 23:25:00,Temperature,18.321
2022-04-03 23:25:00,CO_2 concentration,888.0
2022-04-03 23:24:00,Temperature,18.313
2022-04-03 23:24:00,CO_2 concentration,873.0
2022-04-03 23:23:00,Temperature,18.321
2022-04-03 23:23:00,CO_2 concentration,863.0
2022-04-03 23:22:00,Temperature,18.313
2022-04-03 23:22:00,CO_2 concentration,878.0
2022-04-03 23:20:00,Temperature,18.334
2022-04-03 23:20:00,CO_2 concentration,872.0
2022-04-03 23:19:00,Temperature,18.347
2022-04-03 23:19:00,CO_2 concentration,850.0
2022-04-03 23:18:00,Temperature,18.377
2022-04-03 23:18:00,CO_2 concentration,864.0
2022-04-03 23:16:00,Temperature,18.403
2022-04-03 23:16:00,CO_2 concentration,842.0
2022-04-03 23:15:00,Temperature,18.43
2022-04-03 23:15:00,CO_2 concentration,847.0
2022-04-03 23:14:00,Temperature,18.462
2022-04-03 23:14:00,CO_2 concentration,854.0
2022-04-03 23:13:00,Temperature,18.481
2022-04-03 23:13:00,CO_2 concentration,843.0
2022-04-03 23:11:00,Temperature,18.531
2022-04-03 23:11:00,CO_2 concentration,853.0
2022-04-03 23:10:00,Temperature,18.588
2022-04-03 23:10:00,CO_2 concentration,808.0
2022-04-03 23:09:00,Temperature,18.649
2022-04-03 23:09:00,CO_2 concentration,819.0
2022-04-03 23:07:00,Temperature,18.718
2022-04-03 23:07:00,CO_2 concentration,783.0
2022-04-03 23:06:00,Temperature,18.828
2022-04-03 23:06:00,CO_2 concentration,733.0
2022-04-03 23:05:00,Temperature,18.948
2022-04-03 23:05:00,CO_2 concentration,747.0
2022-04-03 23:04:00,Temperature,19.092
2022-04-03 23:04:00,CO_2 concentration,724.0
2022-04-03 23:02:00,Temperature,19.13
2022-04-03 23:02:00,CO_2 concentration,727.0
2022-04-03 23:01:00,Temperature,19.124
2022-04-03 23:01:00,CO_2 concentration,733.0
2022-04-03 23:00:00,Temperature,19.17
2022-04-03 23:00:00,CO_2 concentration,748.0
2022-04-03 22:58:00,Temperature,19.178
2022-04-03 22:58:00,CO_2 concentration,700.0
2022-04-03 22:57:00,Temperature,19.207
2022-04-03 22:57:00,CO_2 concentration,754.0
2022-04-03 22:56:00,Temperature,19.226
