Time,Datastream Name,Value
2022-04-04 09:15:00,Temperature,28.679
2022-04-04 09:15:00,CO_2 concentration,782.0
2022-04-04 09:02:00,Temperature,27.423499999999997
2022-04-04 09:02:00,CO_2 concentration,516.5
2022-04-03 18:53:00,Temperature,14.31
2022-04-03 18:53:00,CO_2 concentration,566.0
2022-04-03 18:37:00,Temperature,10.3005
2022-04-03 18:37:00,CO_2 concentration,462.0
2022-04-03 18:31:00,Temperature,17.68
2022-04-03 18:31:00,CO_2 concentration,424.0
2022-04-01 20:40:00,Temperature,21.821
2022-04-01 20:40:00,CO_2 concentration,438.0
2022-04-01 20:39:00,Temperature,21.92
2022-04-01 20:39:00,CO_2 concentration,424.0
2022-04-01 20:38:00,Temperature,22.08
2022-04-01 20:38:00,CO_2 concentration,437.0
2022-04-01 20:37:00,Temperature,22.462
2022-04-01 20:37:00,CO_2 concentration,387.0
2022-04-01 20:36:00,Temperature,23.632
2022-04-01 20:36:00,CO_2 concentration,439.0
2022-04-01 20:35:00,Temperature,23.62
2022-04-01 20:35:00,CO_2 concentration,450.0
2022-04-01 20:34:00,Temperature,23.639
2022-04-01 20:34:00,CO_2 concentration,448.6666666666667
2022-04-01 20:33:00,Temperature,23.752
2022-04-01 20:33:00,CO_2 concentration,470.6666666666667
2022-04-01 20:32:00,Temperature,24.157666666666668
2022-04-01 20:32:00,CO_2 concentration,514.3333333333334
2022-04-01 20:31:00,Temperature,24.936
2022-04-01 20:31:00,CO_2 concentration,548.5
2022-04-01 20:28:00,Temperature,21.896
2022-04-01 20:28:00,CO_2 concentration,478.0
2022-04-01 20:26:00,Temperature,21.907
2022-04-01 20:26:00,CO_2 concentration,585.0
2022-04-01 20:25:00,Temperature,21.951999999999998
2022-04-01 20:25:00,CO_2 concentration,874.0
2022-04-01 20:24:00,Temperature,21.96
2022-04-01 20:24:00,CO_2 concentration,486.0
2022-04-01 20:23:00,Temperature,21.965
2022-04-01 20:23:00,CO_2 concentration,487.0
2022-04-01 20:21:00,Temperature,21.928
2022-04-01 20:21:00,CO_2 concentration,517.0
2022-04-01 20:20:00,Temperature,21.901
2022-04-01 20:20:00,CO_2 concentration,482.0
2022-04-01 20:19:00,Temperature,21.856
2022-04-01 20:19:00,CO_2 concentration,470.0
2022-04-01 20:18:00,Temperature,21.995
2022-04-01 20:18:00,CO_2 concentration,518.0
2022-04-01 20:17:00,Temperature,22.43
2022-04-01 20:17:00,CO_2 concentration,465.0
2022-04-01 20:16:00,Temperature,23.6785
2022-04-01 20:16:00,CO_2 concentration,572.5
2022-04-01 20:15:00,Temperature,23.640666666666664
2022-04-01 20:15:00,CO_2 concentration,607.0
2022-04-01 20:14:00,Temperature,23.66433333333333
2022-04-01 20:14:00,CO_2 concentration,501.0
2022-04-01 20:13:00,Temperature,23.768
2022-04-01 20:13:00,CO_2 concentration,508.6666666666667
2022-04-01 20:12:00,Temperature,24.261
2022-04-01 20:12:00,CO_2 concentration,513.6666666666666
2022-04-01 20:11:00,Temperature,25.044
2022-04-01 20:11:00,CO_2 concentration,518.0
2022-04-01 20:10:00,Temperature,21.773
2022-04-01 20:10:00,CO_2 concentration,591.0
2022-04-01 20:03:00,Temperature,21.915
2022-04-01 20:03:00,CO_2 concentration,708.0
2022-04-01 20:02:00,Temperature,21.979
2022-04-01 20:02:00,CO_2 concentration,779.0
2022-04-01 20:01:00,Temperature,21.968
2022-04-01 20:01:00,CO_2 concentration,688.0
2022-04-01 20:00:00,Temperature,21.951999999999998
2022-04-01 20:00:00,CO_2 concentration,687.0
2022-04-01 19:57:00,Temperature,22.086
2022-04-01 19:57:00,CO_2 concentration,522.0
2022-04-01 19:55:00,Temperature,22.134
2022-04-01 19:55:00,CO_2 concentration,504.0
2022-04-01 19:54:00,Temperature,22.2
2022-04-01 19:54:00,CO_2 concentration,615.0
2022-04-01 19:53:00,Temperature,22.246000000000002
2022-04-01 19:53:00,CO_2 concentration,735.0
2022-04-01 19:52:00,Temperature,22.297
2022-04-01 19:52:00,CO_2 concentration,932.0
2022-04-01 19:51:00,Temperature,22.441
2022-04-01 19:51:00,CO_2 concentration,865.0
2022-04-01 19:50:00,Temperature,22.196
2022-04-01 19:50:00,CO_2 concentration,730.6666666666666
2022-04-01 19:48:00,Temperature,21.904
2022-04-01 19:48:00,CO_2 concentration,881.0
2022-04-01 19:45:00,Temperature,21.901
2022-04-01 19:45:00,CO_2 concentration,807.0
2022-04-01 19:42:00,Temperature,21.779
2022-04-01 19:42:00,CO_2 concentration,715.0
2022-04-01 19:37:00,Temperature,23.584
2022-04-01 19:37:00,CO_2 concentration,601.0
2022-04-01 19:36:00,Temperature,23.613
2022-04-01 19:36:00,CO_2 concentration,601.5
2022-04-01 19:35:00,Temperature,23.582
2022-04-01 19:35:00,CO_2 concentration,578.5
2022-04-01 19:34:00,Temperature,23.573
2022-04-01 19:34:00,CO_2 concentration,664.0
2022-04-01 19:33:00,Temperature,23.7945
2022-04-01 19:33:00,CO_2 concentration,771.5
2022-04-01 19:32:00,Temperature,24.203
2022-04-01 19:32:00,CO_2 concentration,795.0
2022-04-01 19:28:00,Temperature,23.29733333333333
2022-04-01 19:28:00,CO_2 concentration,626.6666666666666
2022-04-01 19:27:00,Temperature,23.331
2022-04-01 19:27:00,CO_2 concentration,714.0
2022-04-01 19:26:00,Temperature,23.354
2022-04-01 19:26:00,CO_2 concentration,992.0
2022-04-01 19:25:00,Temperature,23.668999999999997
2022-04-01 19:25:00,CO_2 concentration,1051.5
2022-04-01 19:24:00,Temperature,24.485999999999997
2022-04-01 19:24:00,CO_2 concentration,1034.0
2022-04-01 19:20:00,Temperature,23.1295
2022-04-01 19:20:00,CO_2 concentration,626.0
2022-04-01 19:19:00,Temperature,23.048000000000002
2022-04-01 19:19:00,CO_2 concentration,762.5
2022-04-01 19:18:00,Temperature,23.0845
2022-04-01 19:18:00,CO_2 concentration,756.5
2022-04-01 19:17:00,Temperature,23.2395
2022-04-01 19:17:00,CO_2 concentration,725.0
2022-04-01 19:16:00,Temperature,23.698500000000003
2022-04-01 19:16:00,CO_2 concentration,760.0
2022-04-01 19:15:00,Temperature,24.558
2022-04-01 19:15:00,CO_2 concentration,774.0
2022-04-01 19:14:00,Temperature,21.709
2022-04-01 19:14:00,CO_2 concentration,585.0
2022-04-01 19:13:00,Temperature,21.81
2022-04-01 19:13:00,CO_2 concentration,544.75
2022-04-01 19:12:00,Temperature,21.7415
2022-04-01 19:12:00,CO_2 concentration,582.75
2022-04-01 19:11:00,Temperature,21.616999999999997
2022-04-01 19:11:00,CO_2 concentration,741.5
2022-04-01 19:10:00,Temperature,21.4755
2022-04-01 19:10:00,CO_2 concentration,756.75
2022-04-01 19:09:00,Temperature,21.277333333333335
2022-04-01 19:09:00,CO_2 concentration,750.0
2022-04-01 19:08:00,Temperature,21.217
2022-04-01 19:08:00,CO_2 concentration,1109.75
2022-04-01 19:07:00,Temperature,20.89075
2022-04-01 19:07:00,CO_2 concentration,1205.75
2022-04-01 19:06:00,Temperature,20.414
2022-04-01 19:06:00,CO_2 concentration,1054.5
2022-04-01 19:05:00,Temperature,19.989
2022-04-01 19:05:00,CO_2 concentration,874.0
2022-04-01 19:03:00,Temperature,2.0
2022-04-01 19:03:00,CO_2 concentration,2.0
2022-03-30 17:19:00,Temperature,22.043
2022-03-30 17:19:00,CO_2 concentration,595.0
2022-03-30 17:18:00,Temperature,22.174
2022-03-30 17:18:00,CO_2 concentration,714.0
2022-03-30 17:12:00,Temperature,22.107
2022-03-30 17:12:00,CO_2 concentration,712.0
2022-03-30 17:08:00,Temperature,21.99
2022-03-30 17:08:00,CO_2 concentration,792.0
2022-03-30 17:03:00,Temperature,21.941
2022-03-30 17:03:00,CO_2 concentration,803.0
2022-03-30 16:45:00,Temperature,11.5795
2022-03-30 16:45:00,CO_2 concentration,434.5
2022-03-30 16:44:00,Temperature,24.725
2022-03-30 16:44:00,CO_2 concentration,813.0
2022-03-30 16:32:00,Temperature,21.761
2022-03-30 16:32:00,CO_2 concentration,968.0
2022-03-30 16:31:00,Temperature,22.1485
2022-03-30 16:31:00,CO_2 concentration,798.5
2022-03-30 16:30:00,Temperature,23.2765
2022-03-30 16:30:00,CO_2 concentration,799.5
2022-03-30 16:29:00,Temperature,12.5715
2022-03-30 16:29:00,CO_2 concentration,5390.0
2022-03-30 16:28:00,Temperature,0.0
2022-03-30 16:28:00,CO_2 concentration,10000.0
2022-03-30 16:27:00,Temperature,0.0
2022-03-30 16:27:00,CO_2 concentration,10000.0
2022-03-30 16:26:00,Temperature,10.6905
2022-03-30 16:26:00,CO_2 concentration,5619.5
2022-03-30 16:25:00,Temperature,21.362000000000002
2022-03-30 16:25:00,CO_2 concentration,1398.5
2022-03-30 16:24:00,Temperature,21.4705
2022-03-30 16:24:00,CO_2 concentration,1515.0
2022-03-30 16:23:00,Temperature,21.805
2022-03-30 16:23:00,CO_2 concentration,1433.0
2022-03-30 16:22:00,Temperature,22.971
2022-03-30 16:22:00,CO_2 concentration,1014.0
2022-03-30 16:21:00,Temperature,23.3835
2022-03-30 16:21:00,CO_2 concentration,1111.0
2022-03-30 16:20:00,Temperature,22.777
2022-03-30 16:20:00,CO_2 concentration,897.0
2022-03-30 16:19:00,Temperature,24.641
2022-03-30 16:19:00,CO_2 concentration,844.0
2022-03-30 15:01:00,Temperature,21.971
2022-03-30 15:01:00,CO_2 concentration,604.0
2022-03-30 15:00:00,Temperature,22.151
2022-03-30 15:00:00,CO_2 concentration,625.5
2022-03-30 14:59:00,Temperature,22.5315
2022-03-30 14:59:00,CO_2 concentration,643.0
2022-03-30 14:58:00,Temperature,23.4635
2022-03-30 14:58:00,CO_2 concentration,681.5
2022-03-30 14:57:00,Temperature,25.843
2022-03-30 14:57:00,CO_2 concentration,720.0
2022-03-30 14:56:00,Temperature,23.931
2022-03-30 14:56:00,CO_2 concentration,642.0
2022-03-30 14:55:00,Temperature,23.951999999999998
2022-03-30 14:55:00,CO_2 concentration,710.5
2022-03-30 14:54:00,Temperature,24.663249999999998
2022-03-30 14:54:00,CO_2 concentration,968.25
2022-03-30 14:53:00,Temperature,25.479777777777777
2022-03-30 14:53:00,CO_2 concentration,1015.1111111111111
2022-03-30 14:48:00,Temperature,23.396
2022-03-30 14:48:00,CO_2 concentration,517.3333333333334
2022-03-30 14:47:00,Temperature,23.387454545454545
2022-03-30 14:47:00,CO_2 concentration,525.0909090909091
2022-03-30 14:46:00,Temperature,23.45625
2022-03-30 14:46:00,CO_2 concentration,534.75
2022-03-30 14:45:00,Temperature,23.626833333333337
2022-03-30 14:45:00,CO_2 concentration,561.0
2022-03-30 14:44:00,Temperature,24.24890909090909
2022-03-30 14:44:00,CO_2 concentration,600.8181818181819
2022-03-30 14:43:00,Temperature,17.686500000000002
2022-03-30 14:43:00,CO_2 concentration,647.0
2022-03-30 14:42:00,Temperature,0.0
2022-03-30 14:42:00,CO_2 concentration,617.0
2022-03-30 14:41:00,Temperature,0.0
2022-03-30 14:41:00,CO_2 concentration,617.0
2022-03-30 14:40:00,Temperature,0.0
2022-03-30 14:40:00,CO_2 concentration,617.0
2022-03-30 14:39:00,Temperature,0.0
2022-03-30 14:39:00,CO_2 concentration,617.0
2022-03-30 14:38:00,Temperature,0.0
2022-03-30 14:38:00,CO_2 concentration,617.0
2022-03-30 14:37:00,Temperature,0.0
2022-03-30 14:37:00,CO_2 concentration,617.0
2022-03-30 14:36:00,Temperature,0.0
2022-03-30 14:36:00,CO_2 concentration,617.0
2022-03-30 14:35:00,Temperature,0.0
2022-03-30 14:35:00,CO_2 concentration,617.0
2022-03-30 14:34:00,Temperature,0.0
2022-03-30 14:34:00,CO_2 concentration,617.0
2022-03-30 14:33:00,Temperature,0.0
2022-03-30 14:33:00,CO_2 concentration,617.0
2022-03-30 14:32:00,Temperature,0.0
2022-03-30 14:32:00,CO_2 concentration,617.0
2022-03-30 14:31:00,Temperature,15.148363636363637
2022-03-30 14:31:00,CO_2 concentration,615.0909090909091
2022-03-30 14:30:00,Temperature,23.824583333333333
2022-03-30 14:30:00,CO_2 concentration,526.3333333333334
2022-03-30 14:29:00,Temperature,23.901500000000002
2022-03-30 14:29:00,CO_2 concentration,513.25
2022-03-30 14:28:00,Temperature,24.36109090909091
2022-03-30 14:28:00,CO_2 concentration,547.0
